0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/unexpand" ; Size : 261896 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/hostid" ; Size : 172720 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/stty" ; Size : 456920 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/rm" ; Size : 353696 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/cksum" ; Size : 989864 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/ls" ; Size : 983000 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/pathchk" ; Size : 182944 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/seq" ; Size : 412816 bytes
0000-00-00 00:00:00.000 - [Info] 	├── Symbolic link : "bin/captoinfo" -> "tic"
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/tset" ; Size : 143112 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/nproc" ; Size : 188688 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/tabs" ; Size : 134856 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/truncate" ; Size : 207752 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/md5sum" ; Size : 244968 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/expand" ; Size : 259040 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/ptx" ; Size : 698736 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/sum" ; Size : 245168 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/mkdir" ; Size : 259936 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/mktemp" ; Size : 219744 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/nice" ; Size : 183152 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/numfmt" ; Size : 571848 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/join" ; Size : 278496 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/infocmp" ; Size : 241616 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/fmt" ; Size : 225856 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/echo" ; Size : 155824 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/sha256sum" ; Size : 324224 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/true" ; Size : 151496 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/lesskey" ; Size : 51848 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/who" ; Size : 421624 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/lessecho" ; Size : 16480 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/ncurses6-config" ; Size : 9513 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/timeout" ; Size : 402416 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/mv" ; Size : 710496 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/comm" ; Size : 218936 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/tsort" ; Size : 283848 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/sha224sum" ; Size : 324224 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/stat" ; Size : 688800 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/whoami" ; Size : 173608 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/dd" ; Size : 492280 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/wc" ; Size : 405304 bytes
